Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r)
501,ACTUAL TEMPERATURE FE7,x,x,x,,,,2,°C,r
502,SET TEMPERATURE FE7,x,x,x,,,,2,°C,r
503,ACTUAL TEMPERATURE FEK,,x,x,,,,2,°C,r
504,SET TEMPERATURE FEK,,x,x,,,,2,°C,r
505,RELATIVE HUMIDITY,,x,x,,,,2,%,r
506,DEW POINT TEMPERATURE,,x,x,,-40,30,2,°C,r
507,OUTSIDE TEMPERATURE,x,x,x,,-60,80,2,°C,r
508,ACTUAL TEMPERATURE HK 1,x,x,x,,0,40,2,°C,r
509,SET TEMPERATURE HK 1 WPM3I,,,x,,0,65,2,°C,r
510,SET TEMPERATURE HK 1,x,x,,,0,40,2,°C,r
511,ACTUAL TEMPERATURE HK 2,x,x,x,,0,90,2,°C,r
512,SET TEMPERATURE HK 2,x,x,x,,0,65,2,°C,r
513,ACTUAL FLOW TEMPERATURE WP,x,x,x,"MFG, if available",,,2,°C,r
514,ACTUAL FLOW TEMPERATURE NHZ,x,x,x,"MFG, if available",,,2,°C,r
515,ACTUAL FLOW TEMPERATURE,x,x,x,,,,2,°C,r
516,ACTUAL RETURN TEMPERATURE,x,x,x,,0,90,2,°C,r
517,SET FIXED TEMPERATURE,x,x,x,,20,50,2,°C,r
518,ACTUAL BUFFER TEMPERATURE,x,x,x,,0,90,2,°C,r
519,SET BUFFER TEMPERATURE,x,x,x,,,,2,°C,r
520,HEATING PRESSURE,x,x,x,,,,7,bar,r
521,FLOW RATE,x,x,x,,,,2,l/min,r
522,ACTUAL TEMPERATURE DHW,x,x,x,DHW,10,65,2,°C,r
523,SET TEMPERATURE DHW,x,x,x,DHW,10,65,2,°C,r
524,ACTUAL TEMPERATURE FAN,x,x,x,Cooling,,,2,K,r
525,SET TEMPERATURE FAN,x,x,x,Cooling,7,25,2,K,r
526,ACTUAL TEMPERATURE AREA,x,x,x,Cooling,,,2,K,r
527,SET TEMPERATURE AREA,x,x,x,Cooling,,,2,K,r
528,COLLECTOR TEMPERATURE,,x,,Solar thermal,0,90,2,°C,r
529,CYLINDER TEMPERATURE,,x,,Solar thermal,0,90,2,°C,r
530,RUNTIME,,x,,,,,6,h,r
531,ACTUAL TEMPERATURE EXTERNAL,x,x,,External heat source,10,90,2,°C,r
532,SET TEMPERATURE EXTERNAL,x,x,,External heat source,,,2,K,r
